process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	tcga-kipan	15s	95.8%	0.4%	703.4 MB	716.3 MB	1.8 GB	15.5s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREPROCESS	tcga-thca	17s	98.0%	0.4%	774.3 MB	774.3 MB	1.9 GB	17.5s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1-null	10.5s	95.2%	0.3%	558.6 MB	558.6 MB	1.7 GB	11.1s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-0-fold_2	9.6s	105.0%	0.3%	575.1 MB	575.1 MB	1.7 GB	10s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-brca-fold_2-full	16.3s	121.1%	0.5%	885.9 MB	885.9 MB	2.1 GB	16.8s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-brca-fold_1-full	16.7s	119.1%	0.5%	879.9 MB	879.9 MB	2.1 GB	17.1s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1	1.4s	158.1%	0.1%	133 MB	134.8 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2	1.3s	161.5%	0.0%	5.1 MB	5.1 MB	89.6 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_2-diablo-null	4.3s	116.8%	0.1%	249.1 MB	249.1 MB	1.5 GB	4.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-def_corr-1-fold_1-full	11.2s	101.0%	0.3%	555 MB	555 MB	1.7 GB	11.7s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-1-fold_2	10s	103.0%	0.3%	522.3 MB	522.3 MB	1.6 GB	10.4s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-thca-fold_1-null	21.2s	114.2%	0.5%	915.8 MB	915.8 MB	2.1 GB	21.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	tcga-thca-fold_2-full	20.3s	113.7%	0.5%	935.7 MB	935.7 MB	2.1 GB	20.7s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1-diablo-null	3s	112.1%	0.1%	244 MB	244 MB	1.3 GB	3.5s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-1-fold_2	1.6s	115.8%	0.1%	110.7 MB	110.7 MB	1.2 GB	2.1s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-brca-fold_2-diablo-full	5.1s	117.5%	0.2%	363.9 MB	363.9 MB	1.5 GB	5.5s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-1-fold_1-diablo-full	3.9s	109.8%	0.1%	247.4 MB	249.3 MB	1.5 GB	4.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-brca-fold_1-diablo-full	5s	122.5%	0.2%	433.7 MB	433.7 MB	1.6 GB	5.3s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-thca-fold_1	10.9s	104.6%	0.3%	548.8 MB	548.8 MB	1.6 GB	11.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-thca-fold_1-diablo-null	5.9s	116.4%	0.2%	450.5 MB	450.5 MB	1.6 GB	6.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2-null	10.7s	100.0%	0.3%	552.4 MB	552.4 MB	1.7 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_1-full	10.5s	109.9%	0.3%	606.7 MB	606.7 MB	1.7 GB	10.9s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	GSE71669-fold_1	1.4s	149.2%	0.1%	123.9 MB	123.9 MB	1.3 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_2	9.9s	105.3%	0.3%	555.6 MB	555.6 MB	1.6 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	GSE71669-fold_1-full	13.4s	114.6%	0.4%	817.2 MB	817.2 MB	1.9 GB	14.1s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	rosmap-fold_1	1.4s	157.7%	0.1%	110.7 MB	112.4 MB	1.3 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_2	9.8s	96.4%	0.3%	517.1 MB	517.1 MB	1.6 GB	10.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_1-diablo-null	3.3s	122.8%	0.1%	204.5 MB	204.5 MB	1.2 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_1-null	10.2s	95.0%	0.3%	592.6 MB	592.6 MB	1.7 GB	10.6s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_2-full	10.1s	109.3%	0.3%	552.3 MB	552.3 MB	1.7 GB	10.5s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-1-fold_1-diablo-full	3.5s	102.7%	0.1%	217.3 MB	217.3 MB	1.2 GB	4s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1-diablo-null	3.2s	108.5%	0.1%	244 MB	244 MB	1.3 GB	3.7s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1	1.4s	150.3%	0.0%	91.9 MB	91.9 MB	1.2 GB	2s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-1-fold_2-diablo-full	3.4s	105.6%	0.1%	243.8 MB	243.8 MB	1.3 GB	3.9s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_2-diablo-full	3.5s	117.5%	0.1%	249.2 MB	249.2 MB	1.5 GB	3.9s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	rosmap-fold_2-diablo-full	4.3s	122.8%	0.1%	248 MB	248 MB	1.5 GB	4.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2-diablo-null	3.3s	116.2%	0.1%	247.5 MB	249.5 MB	1.5 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	tcga-thca-fold_2-diablo-full	5.6s	119.6%	0.2%	447.2 MB	447.2 MB	1.6 GB	6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-kipan-fold_1	10.1s	98.0%	0.3%	668.4 MB	670.3 MB	1.8 GB	10.5s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-kipan-fold_2	10.4s	96.1%	0.3%	535.2 MB	535.2 MB	1.6 GB	10.8s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_2	1.5s	142.5%	0.1%	130.9 MB	130.9 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-thca-fold_2	9.5s	104.0%	0.3%	617.2 MB	617.2 MB	1.7 GB	10s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_1-diablo-null	3.4s	95.0%	0.1%	243.8 MB	243.8 MB	1.3 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-kipan-fold_1	1.5s	159.6%	0.0%	5.1 MB	5.1 MB	92.5 MB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_2-diablo-full	3.2s	133.3%	0.1%	243.8 MB	243.8 MB	1.3 GB	3.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-kipan-fold_2	1.5s	148.3%	0.1%	139.5 MB	141.2 MB	1.3 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-thca-fold_2	1.4s	170.8%	0.0%	85.7 MB	85.7 MB	1.2 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1-full	9.9s	100.0%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.4s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2-full	11.6s	112.6%	0.3%	569.4 MB	569.4 MB	1.7 GB	12s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_1-full	10.4s	125.8%	0.3%	667.7 MB	667.7 MB	1.9 GB	10.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_2-null	10.6s	103.1%	0.3%	618.1 MB	618.1 MB	1.7 GB	11s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-0-fold_2	1.4s	160.5%	0.0%	5 MB	5 MB	89.5 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	tcga-thca-fold_1	1.4s	161.9%	0.0%	5.1 MB	5.1 MB	92.5 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_2	1.3s	150.5%	0.1%	110.7 MB	112.4 MB	1.2 GB	1.7s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_1-diablo-full	3.4s	123.1%	0.1%	243.9 MB	243.9 MB	1.3 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	GSE71669-fold_1-diablo-full	3.7s	128.8%	0.2%	295 MB	295 MB	1.5 GB	4.2s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-0-fold_1-diablo-full	3.6s	96.4%	0.1%	174.9 MB	174.9 MB	1.2 GB	4.1s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-1-fold_2-diablo-full	3.7s	107.8%	0.1%	244.2 MB	244.2 MB	1.3 GB	4.1s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-1-fold_1	10.5s	104.2%	0.3%	610.7 MB	610.7 MB	1.7 GB	12.9s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_1-diablo-full	4.5s	115.9%	0.1%	248.2 MB	248.2 MB	1.5 GB	4.9s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-0-fold_2-diablo-null	4.1s	123.9%	0.1%	251 MB	251 MB	1.5 GB	4.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-1-fold_2	9.5s	102.5%	0.3%	524.3 MB	524.3 MB	1.6 GB	10s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	rosmap-fold_2	1.4s	163.0%	0.0%	85.9 MB	85.9 MB	1.2 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-1-fold_2-full	10.8s	108.5%	0.3%	662.8 MB	662.8 MB	1.9 GB	11.2s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_2-full	10s	96.0%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-1-fold_1	1.4s	161.7%	0.0%	85.9 MB	85.9 MB	1.2 GB	1.9s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_1-null	9.8s	103.0%	0.3%	552.2 MB	552.2 MB	1.7 GB	10.2s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_1	1.3s	193.5%	0.0%	5.1 MB	5.1 MB	92.5 MB	1.7s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-500_effect-2_sigma-indep_corr-1-fold_2	1.4s	151.0%	0.1%	109.8 MB	109.8 MB	1.2 GB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-50_effect-2_sigma-indep_corr-0.5-fold_2-diablo-full	3.2s	103.8%	0.1%	232 MB	232 MB	1.3 GB	3.6s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-500_effect-2_sigma-def_corr-1-fold_2-diablo-full	4.2s	115.5%	0.1%	250.9 MB	250.9 MB	1.5 GB	4.6s	256 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:MERGE_RESULT_TABLE	demo_logit	1.4s	105.5%	0.1%	106.7 MB	106.7 MB	1.2 GB	2.3s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0-fold_1-diablo-null	3.4s	116.4%	0.1%	193.9 MB	193.9 MB	1.2 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-100_effect-2_sigma-def_corr-1-fold_2-null	10s	106.6%	0.3%	552.6 MB	552.6 MB	1.7 GB	10.5s	1 GB
PREPARE_DATA:PARSE_METADATA	-	12.4s	98.2%	0.4%	694.6 MB	694.6 MB	1.8 GB	13s	6 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-1-fold_2-diablo-null	3.1s	139.7%	0.1%	243.8 MB	243.8 MB	1.3 GB	3.5s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:MERGE_RESULT_TABLE	diablo-null	1.3s	99.0%	0.1%	108.1 MB	108.1 MB	1.2 GB	2.1s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:MERGE_RESULT_TABLE	diablo-full	1.4s	119.0%	0.1%	106.8 MB	106.8 MB	1.2 GB	2.1s	256 MB
CROSS_VALIDATION:CV_R:MERGE_RESULT_TABLE	R	1.5s	127.8%	0.1%	115.3 MB	115.3 MB	1.2 GB	1.9s	256 MB
CROSS_VALIDATION:MERGE_RESULT_TABLE	all_langs	1.5s	138.8%	0.1%	113.2 MB	113.2 MB	1.2 GB	1.9s	256 MB
CALCULATE_METRICS	-	1.4s	115.7%	0.1%	123.7 MB	123.7 MB	1.2 GB	1.8s	256 MB
