process	tag	realtime	%cpu	%mem	rss	peak_rss	peak_vmem	duration	memory
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-indep_corr-0.5-fold_1-diablo-null	3.4s	118.9%	0.1%	228.4 MB	228.4 MB	1.3 GB	3.8s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	rosmap-fold_2-diablo-null	4.3s	112.5%	0.1%	250.5 MB	250.5 MB	1.5 GB	4.7s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-0.5-fold_1-diablo-full	3.6s	117.8%	0.1%	251.3 MB	251.3 MB	1.5 GB	4.1s	256 MB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-0.5-fold_1-null	11.6s	102.5%	0.3%	555.4 MB	555.4 MB	1.7 GB	12.1s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-indep_corr-0.5-fold_1-full	11.4s	117.9%	0.3%	667.9 MB	667.9 MB	1.9 GB	12s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-def_corr-0.5-fold_1	9.1s	96.5%	0.3%	666.9 MB	666.9 MB	1.8 GB	9.5s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	sim-data_n-50_effect-2_sigma-indep_corr-0-fold_2	9.6s	97.9%	0.3%	557.3 MB	557.3 MB	1.6 GB	10s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_2-null	9.9s	105.3%	0.3%	552.4 MB	552.4 MB	1.7 GB	10.3s	1 GB
CROSS_VALIDATION:CV_R:DIABLO:DIABLO_TRAIN	sim-data_n-500_effect-2_sigma-def_corr-0.5-fold_1-full	11.6s	106.7%	0.3%	662.5 MB	662.5 MB	1.9 GB	12s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-1-fold_2	1.5s	142.0%	0.0%	87.7 MB	87.7 MB	1.2 GB	2s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_TRAIN	tcga-brca-fold_1	9.4s	97.6%	0.3%	662.2 MB	662.2 MB	1.8 GB	9.9s	1 GB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-100_effect-2_sigma-def_corr-0.5-fold_1	1.4s	164.6%	0.0%	5.1 MB	5.1 MB	92.5 MB	1.8s	512 MB
CROSS_VALIDATION:CV_R:DEMO_LOGIT:DEMO_LOGIT_PREDICT	sim-data_n-50_effect-2_sigma-def_corr-1-fold_1	1.4s	166.3%	0.0%	86 MB	86 MB	1.2 GB	1.8s	512 MB
